product_category,price
Electronics,20208.0
Electronics,13805.84
Electronics,22124.01
Electronics,37407.38
Electronics,13033.96
Electronics,13034.09
Electronics,38689.87
Electronics,23772.06
Electronics,11317.67
Electronics,20771.59
Electronics,11358.88
Electronics,11343.13
Electronics,17343.67
Electronics,4759.21
Electronics,5328.66
Electronics,10704.64
Electronics,8169.04
Electronics,18112.43
Electronics,8699.24
Electronics,6428.03
Electronics,36141.42
Electronics,13099.64
Electronics,15620.23
Electronics,6380.21
Electronics,10820.26
Electronics,16032.27
Electronics,7519.16
Electronics,18792.71
Electronics,10461.14
Electronics,12591.65
Electronics,10454.43
Electronics,45577.63
Electronics,14879.02
Electronics,7952.0
Electronics,24571.25
Electronics,7210.54
Electronics,17002.64
Electronics,4628.57
Electronics,6760.78
Electronics,16880.63
Electronics,23362.45
Electronics,16624.39
Electronics,13994.46
Electronics,12520.76
Electronics,6177.64
Electronics,9739.05
Electronics,11377.83
Electronics,28284.77
Electronics,18434.45
Electronics,5208.16
Electronics,18219.65
Electronics,11905.5
Electronics,9993.12
Electronics,21651.09
Electronics,27844.9
Electronics,26227.76
Electronics,9065.9
Electronics,12459.99
Electronics,18298.3
Electronics,26933.67
Electronics,11252.0
Electronics,13418.77
Electronics,7723.36
Electronics,7317.92
Electronics,24423.99
Electronics,33845.1
Electronics,14365.71
Electronics,27389.78
Electronics,18634.82
Electronics,10185.63
Electronics,18632.13
Electronics,37745.72
Electronics,14681.01
Electronics,38353.14
Electronics,3114.92
Electronics,24561.78
Electronics,15804.24
Electronics,12536.52
Electronics,15849.0
Electronics,4551.74
Electronics,13147.7
Electronics,18584.31
Electronics,36407.93
Electronics,10991.12
Electronics,9234.57
Electronics,11100.56
Electronics,25979.08
Electronics,18270.74
Electronics,10915.61
Electronics,20409.71
Electronics,15899.64
Electronics,26822.4
Electronics,9843.57
Electronics,12322.82
Electronics,11855.42
Electronics,6233.52
Electronics,17916.51
Electronics,17543.5
Electronics,15046.09
Electronics,13030.57
Electronics,6416.21
Electronics,11654.16
Electronics,12212.03
Electronics,9269.08
Electronics,13616.45
Electronics,19115.14
Electronics,46514.39
Electronics,16656.44
Electronics,17506.64
Electronics,14344.73
Electronics,4743.56
Electronics,14763.26
Electronics,15551.99
Electronics,65758.93
Electronics,13364.92
Electronics,17974.94
Electronics,14690.82
Electronics,7439.8
Electronics,29777.23
Electronics,23551.98
Electronics,44201.88
Electronics,32169.81
Electronics,33154.6
Fashion,1631.95
Fashion,1662.65
Fashion,1220.4
Fashion,585.12
Fashion,1927.31
Fashion,1554.6
Fashion,621.43
Fashion,796.87
Fashion,2043.84
Fashion,1725.66
Fashion,778.91
Fashion,1020.57
Fashion,1101.03
Fashion,1737.63
Fashion,2538.79
Fashion,1248.21
Fashion,2420.19
Fashion,2026.5
Fashion,1357.59
Fashion,504.71
Fashion,647.71
Fashion,1872.11
Fashion,429.99
Fashion,1288.8
Fashion,2187.18
Fashion,1314.92
Fashion,836.51
Fashion,722.06
Fashion,1958.18
Fashion,1592.57
Fashion,1011.09
Fashion,2273.9
Fashion,2003.15
Fashion,3509.52
Fashion,1686.17
Fashion,1087.22
Fashion,1101.34
Fashion,375.9
Fashion,1313.53
Fashion,1188.74
Fashion,540.25
Fashion,1181.93
Fashion,2686.46
Fashion,772.28
Fashion,674.61
Fashion,2328.63
Fashion,1755.7
Fashion,7530.63
Fashion,543.99
Fashion,1848.83
Fashion,1450.42
Fashion,1243.45
Fashion,2072.24
Fashion,1178.79
Fashion,375.5
Fashion,721.74
Fashion,2720.95
Fashion,2424.29
Fashion,959.3
Fashion,1623.33
Fashion,6376.91
Fashion,1177.75
Fashion,1191.69
Fashion,1345.39
Fashion,1727.21
Fashion,973.34
Fashion,1726.33
Fashion,373.73
Fashion,1468.38
Fashion,1237.01
Fashion,1053.21
Fashion,902.28
Fashion,832.52
Fashion,736.54
Fashion,298.64
Fashion,1021.74
Fashion,2316.64
Fashion,981.25
Fashion,1756.62
Fashion,627.63
Fashion,548.21
Fashion,764.8
Fashion,648.57
Fashion,590.08
Fashion,1571.74
Fashion,3489.21
Fashion,804.25
Fashion,434.84
Fashion,1779.62
Fashion,507.01
Fashion,590.0
Fashion,1614.97
Fashion,1086.69
Fashion,794.55
Fashion,1250.24
Fashion,938.64
Fashion,3728.66
Fashion,799.99
Fashion,693.69
Fashion,913.29
Fashion,936.75
Fashion,1715.51
Fashion,363.27
Fashion,1549.51
Fashion,867.23
Fashion,1912.51
Fashion,1166.18
Fashion,1638.1
Fashion,948.84
Fashion,1560.7
Fashion,3256.27
Fashion,770.11
Fashion,1125.25
Fashion,896.36
Fashion,3120.87
Fashion,924.92
Fashion,773.14
Fashion,848.2
Fashion,1106.16
Fashion,745.44
Fashion,4612.86
Fashion,3455.41
Fashion,7752.95
Home & Kitchen,7210.68
Home & Kitchen,3187.64
Home & Kitchen,1173.23
Home & Kitchen,4336.24
Home & Kitchen,8931.5
Home & Kitchen,4644.9
Home & Kitchen,1004.68
Home & Kitchen,1869.65
Home & Kitchen,5346.47
Home & Kitchen,1635.08
Home & Kitchen,3262.79
Home & Kitchen,3979.16
Home & Kitchen,1433.52
Home & Kitchen,2412.29
Home & Kitchen,357.55
Home & Kitchen,1352.1
Home & Kitchen,2148.46
Home & Kitchen,1182.49
Home & Kitchen,6657.46
Home & Kitchen,1059.93
Home & Kitchen,1919.88
Home & Kitchen,2704.01
Home & Kitchen,5936.11
Home & Kitchen,1056.3
Home & Kitchen,5023.81
Home & Kitchen,2515.4
Home & Kitchen,1387.34
Home & Kitchen,3298.78
Home & Kitchen,2817.15
Home & Kitchen,1743.96
Home & Kitchen,2606.93
Home & Kitchen,1983.98
Home & Kitchen,2676.21
Home & Kitchen,3719.43
Home & Kitchen,6474.69
Home & Kitchen,1189.58
Home & Kitchen,8989.98
Home & Kitchen,774.95
Home & Kitchen,2282.38
Home & Kitchen,3558.29
Home & Kitchen,2959.1
Home & Kitchen,1720.6
Home & Kitchen,2206.52
Home & Kitchen,1859.84
Home & Kitchen,1755.36
Home & Kitchen,4162.23
Home & Kitchen,3097.2
Home & Kitchen,1649.62
Home & Kitchen,4288.99
Home & Kitchen,3006.18
Home & Kitchen,4071.49
Home & Kitchen,3647.59
Home & Kitchen,1520.28
Home & Kitchen,1786.36
Home & Kitchen,3914.42
Home & Kitchen,3605.69
Home & Kitchen,2468.84
Home & Kitchen,2682.33
Home & Kitchen,5381.08
Home & Kitchen,1753.03
Home & Kitchen,3471.37
Home & Kitchen,2214.39
Home & Kitchen,2193.9
Home & Kitchen,4833.43
Home & Kitchen,4102.27
Home & Kitchen,4073.07
Home & Kitchen,5471.64
Home & Kitchen,2531.71
Home & Kitchen,3763.93
Home & Kitchen,2075.35
Home & Kitchen,3036.76
Home & Kitchen,2312.21
Home & Kitchen,2649.81
Home & Kitchen,3572.93
Home & Kitchen,1530.14
Home & Kitchen,8773.39
Home & Kitchen,1367.08
Home & Kitchen,1206.57
Home & Kitchen,5008.6
Home & Kitchen,4020.03
